company,headquarters_country,usa_state,num_employees,net_worth,ghg_emissions_metric_tons,ghg_emissions_year,water_withdrawal_cubic_meters,water_withdrawal_year,avg_annual_PUE,percent_waste_diverted,ghg_emissions_datacenters_metric_tons,percent_renewable_energy,money_in_renewables_USdollars,waste_generated_metric_tons,waste_generated_year,highest_leed_certification,ev_charging_ports,carbon_neutral_shipments,percent_product_recycled_materials,reported_raw_materials,conflict_free_supply_change
Alphabet (Google),United States,California,150028,"1,453.76",9071847.4,2021,11365.225,2021,1.1,81,0,100,3300000000,28864,2021,platinum,yes,yes,100,"cobalt, tantalum, tin, tungsten",not sure
Microsoft,United States,Washington,182268,"1,893.24",123704,2021,7657,2020,1.125,90,16000000,100,200000000,3189,2021,platinum,yes,some,61,"graphite, silicon, gold, tantalum, tin, tungsten",yes
Meta (Facebook),United States,California,71970,517.69,7550000,2020,3726000,2021,1.1,unsure,2756000,100,7400000000,unsure,null,platinum,yes,some,unsure,"lithium, gold, tantalum, tin, tungsten",no
Tesla,United States,Texas,70757,734.97,1954000,2021,2874904,2020,null,null,null,100,unsure,32877.282,2021,silver,yes,some,unsure,"cobalt, lithium, graphite, silicon, aluminum, tantalum, tin, tungsten, nickel, manganese, iron",unsure
Apple,United States,California,154000,"2,223.03",22600000,2020,5850817.83,2020,null,93,1177189,100,4700000000,16556.122,2020,platinum,yes,yes,> 0,"cobalt, lithium, silicon, gold, silver, aluminum, tantalum, tin, tungsten, neodymium, praseodymium, dysprosium, copper, natural graphite, bismuth, boron, cerium, chromium, mercury, lead, iron",some
Amazon,United States,Washington,"170,000","1,091.91",unsure,unsure,480000000,2020,1.7,null,null,65,unsure,272155.422,2020,platinum,yes,some,unsure,"cobalt, silicon, silver, aluminum, tantalum, tungsten",no
Taiwan Semiconductor Manufacturing Company,Taiwan,null,56831,410.00,7430000,2020,77000000,2021,null,null,null,7.6,44000000,unsure,null,platinum,yes,no,unsure,"cobalt, lithium, graphite, silicon, gold, silver, aluminum, tantalum, tin, tungsten",unsure
Nvidia,United States,California,22473,493.71,105621,2021,359901,2019,null,null,null,unsure,unsure,2778,2021,gold,yes,no,unsure,"gold, aluminum, tin, tungsten, copper",no
Tencent,China,null,"112,771",431.30,5111000,2021,3635172.35,2020,1.25,unsure,5100000,> 0,unsure,unsure,null,gold,yes,no,unsure,"cobalt, lithium, graphite",no
Samsung,South Korea,null,287439,300.00,273063000,2020,142294,null,null,null,null,100,not sure,1181741,2020,gold,yes,unsure,unsure,"cobalt, silicon, gold, tantalum, tin, tungsten",yes
